"CLAVE","DESCRIP"
"1",CRUZ ROJA
"10",BOMBEROS
"1010",CRUM
"11",BRIASA 
"110",SPAM
"111",INTERMEDIC
"112",MEDLINK
"113",SUPRA 
"114",SIEM
"12",CAEP
"13",CAMARA DE DIPUTADOS
"14",CAPUFE
"15",CNU
"16",CONDOR
"17",RELAMPAGO
"18",VULCANOS
"19",CONTINENTAL
"2",ERUM
"20",DALINDE
"200",FORANEA 
"201",SIES
"202",BIOMEDIC
"203",JIMED
"204",URRED
"205",ACES
"206",CUALITI CARE
"207",UMEDIC
"208",TRASLADO Y URGENCIAS MÉDICA
"209",ERFRA
"21",DERECHOS HUMANOS
"210","GARCES ""Ambulancias"""
"211",XE-MED
"212",SAN LUCAS
"22",DIAMANTE
"23",DIF
"24",EMERGENCIAS MEDICAS
"240",CEDROS
"25",ENLACE
"26",ERYEM
"27",BRIGADA
"28",ESTADO DE MEXICO
"29",FLITE CARE
"3",ALBATROS
"30",FRAMED
"301",FENIX
"302",HOSPITAL SYSTEM
"303",MEDICAL CARE
"304",AMI
"305",CINCO SENTIDOS (5 SENTIDOS)
"306",INTEGRA
"307",ET
"308",EC
"309",MICHU Y MAU
"31",GENAP
"310",TORRE MEDICA
"311",DIVISIÓN MÉDICA
"312",MEDICA HELP
"313",AMCI
"314",MED CARE
"315",MEDICAL
"316",CAPAMET O CAPAMEP
"317",STAP
"318",CRITICAL EMERGENCY
"319",EMI
"32",IBEROMED
"320",MRU
"321",CMI
"322",EMIR
"323",MKS O NKS
"324",BIOMEDICAL
"325",DELTA
"326",CERESO
"328",SIUM
"329",AMBULANCIAS HUMANA
"330",SPA
"331",STAR MEDICA
"332",GUARDIAS DE MÉXICO
"333",AEROMEDICA
"334",TRANS MEDIC
"335",PC NO DEFINIDA
"336",EMERGENCIAS TLALPAN
"337",UM
"338",SUEM
"339",AEROPUERTO INTERNACIONAL
"3396",RES. COYOACAN
"34",IMAGEN
"341",CIPRO MEDIC
"343",MEDICAL GROUP
"344",ICM
"345",CURSE
"346",FRACE MEDIC
"347",SIM
"348",LIFE SCPORT
"349",EMERGENCIAS MOVIL
"35",IMSS
"350",UMAS
"351",COMITED OLIMPICO MEXICANO
"352",STEM
"353",SASIF
"354",EMER MEDIC
"355",RESCATE ALCONES
"356",MEDIC ONE
"357",TUM
"358",CONTACTO MEDICO
"359",AEROMED
"36",INER
"360",TEMS
"361",FUERZA MÉDICA
"362",COMISIÓN NACIONAL DE URGENCIAS
"363",PRIMER CONTACTO
"364",IRMAS MEDIC
"367",ANGELES
"368",PROTECCIÓN MÉDICA
"369",MEDEK
"37",INST. ORTOPEDIA Y REHABILITACION 
"370",ERYS
"371",GRUPO PEDREGAL
"38",ISSSTE
"39",LASSER
"397",RES. IZTAPALAPA
"398",RESCATE CONTRERAS
"399",RES. TLALPAN
"4",ALBERCA OLIMPICA
"40",LINEA MEDICA
"400",URGEMEDIC
"401",MOBIL
"402",CIRIUS
"403",LIFE LINE
"404",PFP
"405",SUCRE
"406",CUIDADOS DE VIDA
"407",UMA
"408",DESARROLLO SOCIAL
"409",HALCONES
"41",MASOT
"410",ATENCION PREHOPITALARIA
"411",PC NAUCALPAN
"412",BOMBEROS IXTAPALUCA
"413",BRIGADA K8
"414",UPS
"415",LG MEDICA
"416",PC VALLE DE CHALCO
"417",MERK MEDIC
"42",MDA
"43",MEDICA MOVIL
"44",MERCI
"45",METH LIFE
"46",METRO CARE
"47",METROPOLITANO
"48",ORTEGA
"49",PARAMEDIC
"5",ALFA 
"50",PARMOT
"51",PGR
"52",POLICIA
"53",PULSO
"54",RECLUSORIOS
"55",RESCATE NEZA
"56",RM
"57",ROACA
"58",SAT
"59",SUAP
"6",AMBAR
"61",PC. .ALVARO OBREGON
"62",PC. AZCAPOTZALCO
"63",PC. BENITO JUÁREZ 
"64",PC. COYOACAN
"65",PC. CUAJIMALPA
"66",PC. CUAUHTEMOC
"67",PC. GVO. A MADERO
"68",PC. IZTACALCO
"69",PC. IZTAPALA
"7",AMPU
"70",PC MAGDALENA  CONTRERAS
"71",PC. MIGUEL HIDALGO
"72",PC. MILPA ALTA
"73",PC. TLAHUAC
"74",PC. TLALPAN
"75",PC. VENUSTIANO CARRANZA
"76",PC.XOCHIMILCO
"77",SOPORTE VIAL
"78",SOS
"79",SSDF NO DEL CRUM
"8",ARIAS
"80",TELETON (CRIT)
"81",TV TELEVISA
"82",TV AZTECA
"83",TRANSMEDIC
"84",UMC
"85",UNAM
"86",URCE
"87",URGEMED
"88",ZAMUDIO
"89",ZAZIR
"9",ARISTOS
"90",AMAC
"92",SASIS
"99",DESCONOCIDA
"990",SE IGNORA
